Title,Author,Genre,Original_Language,Year_Published,Estimated_Readers_Millions,Target_Age,Copies_Sold_Millions,Adaptations_Film_TV,Translated_Languages,Goodreads_Rating,Has_Major_Awards,Pirated_Estimate_Millions,Country_of_Author
Book 85,Author 85,Fantasy,French,1880,116,Adult,99,2,77,4.1,Yes,8,India
Book 86,Author 86,Romance,French,2013,96,Children,101,9,53,3.9,No,4,Brazil
Book 87,Author 87,Science Fiction,Chinese,2008,45,Children/Teen,93,2,67,4.8,Yes,18,Russia
Book 88,Author 88,Fantasy,German,1949,118,Teen/Adult,20,3,32,3.9,Yes,12,Germany
Book 89,Author 89,Historical,Chinese,2015,90,Teen/Adult,74,3,47,4.7,Yes,4,Brazil
Book 90,Author 90,Science Fiction,English,1989,82,Children/Teen,93,9,74,4.4,Yes,0,Russia
Book 91,Author 91,Romance,Chinese,1982,67,Children/Teen,33,2,29,3.2,No,13,USA
Book 92,Author 92,Science Fiction,Russian,2015,48,Teen/Adult,119,6,50,3.5,No,29,Russia
Book 93,Author 93,Romance,French,1886,28,Children,76,3,29,4.2,Yes,24,India
Book 94,Author 94,Fantasy,German,2000,104,Teen/Adult,30,8,28,3.7,Yes,10,France
Book 95,Author 95,Historical,English,1965,62,Teen,33,10,22,4.1,No,6,Germany
Book 96,Author 96,Mystery,German,2006,50,Children/Teen,99,0,46,3.2,No,30,USA
Book 97,Author 97,Fantasy,Chinese,1939,18,Teen/Adult,71,9,29,3.9,Yes,2,India
Book 98,Author 98,Fantasy,French,1908,61,Children/Teen,38,10,31,3.8,Yes,2,India
Book 99,Author 99,Mystery,German,1952,39,Children,52,6,94,4.4,Yes,11,UK
Book 100,Author 100,Fantasy,German,1859,65,Adult,91,6,40,4.5,Yes,0,Brazil
