"unit","indicator","available_nuts_levels","unit_name","description","eurostat_code","title","geo","values","method","code13","code16","name","nuts_level","change","resolution","nuts_2016","nuts_2013","data_start","data_end","last_update_of_data","last_table_structure_change","retrieve_date","last_change","type"
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE21",755,"actual","BE21","BE21","Prov. Antwerpen",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE22",368.6,"actual","BE22","BE22","Prov. Limburg (BE)",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE23",656.9,"actual","BE23","BE23","Prov. Oost-Vlaanderen",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE24",484.9,"actual","BE24","BE24","Prov. Vlaams-Brabant",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE25",509.2,"actual","BE25","BE25","Prov. West-Vlaanderen",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE31",161.9,"actual","BE31","BE31","Prov. Brabant Wallon",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE32",469.5,"actual","BE32","BE32","Prov. Hainaut",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE33",410.4,"actual","BE33","BE33","Prov. Liège",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE34",115.7,"actual","BE34","BE34","Prov. Luxembourg (BE)",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE35",185.7,"actual","BE35","BE35","Prov. Namur",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BG31",284.4,"actual","BG31","BG31","<U+0421><U+0435><U+0432><U+0435><U+0440><U+043E><U+0437><U+0430><U+043F><U+0430><U+0434><U+0435><U+043D>",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BG32",314.1,"actual","BG32","BG32","<U+0421><U+0435><U+0432><U+0435><U+0440><U+0435><U+043D> <U+0446><U+0435><U+043D><U+0442><U+0440><U+0430><U+043B><U+0435><U+043D>",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BG33",370.1,"actual","BG33","BG33","<U+0421><U+0435><U+0432><U+0435><U+0440><U+043E><U+0438><U+0437><U+0442><U+043E><U+0447><U+0435><U+043D>",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BG34",409.2,"actual","BG34","BG34","<U+042E><U+0433><U+043E><U+0438><U+0437><U+0442><U+043E><U+0447><U+0435><U+043D>",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BG41",971.1,"actual","BG41","BG41","<U+042E><U+0433><U+043E><U+0437><U+0430><U+043F><U+0430><U+0434><U+0435><U+043D>",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BG42",586,"actual","BG42","BG42","<U+042E><U+0436><U+0435><U+043D> <U+0446><U+0435><U+043D><U+0442><U+0440><U+0430><U+043B><U+0435><U+043D>",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CH01",754.5,"actual",NA,"CH01",NA,2,"not in EU - not controlled","check with national authorities",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CH02",986.7,"actual",NA,"CH02",NA,2,"not in EU - not controlled","check with national authorities",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CH03",601.8,"actual",NA,"CH03",NA,2,"not in EU - not controlled","check with national authorities",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CH04",802.5,"actual",NA,"CH04",NA,2,"not in EU - not controlled","check with national authorities",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CH05",636.8,"actual",NA,"CH05",NA,2,"not in EU - not controlled","check with national authorities",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CH06",449.6,"actual",NA,"CH06",NA,2,"not in EU - not controlled","check with national authorities",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CH07",161.2,"actual",NA,"CH07",NA,2,"not in EU - not controlled","check with national authorities",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CY00",365.1,"actual","CY00","CY00","<U+039A><U+03CD>p<U+03C1><U+03BF><U+03C2>",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CZ01",649.4,"actual","CZ01","CZ01","Praha",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CZ02",626.2,"actual","CZ02","CZ02","Strední Cechy",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CZ03",576.1,"actual","CZ03","CZ03","Jihozápad",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CZ04",504.8,"actual","CZ04","CZ04","Severozápad",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CZ05",689.5,"actual","CZ05","CZ05","Severovýchod",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CZ06",792.9,"actual","CZ06","CZ06","Jihovýchod",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CZ07",554.2,"actual","CZ07","CZ07","Strední Morava",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","CZ08",544.1,"actual","CZ08","CZ08","Moravskoslezsko",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE11",2024.8,"actual","DE11","DE11","Stuttgart",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE12",1382.3,"actual","DE12","DE12","Karlsruhe",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE13",1141.4,"actual","DE13","DE13","Freiburg",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE14",943.3,"actual","DE14","DE14","Tübingen",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE21",2376.5,"actual","DE21","DE21","Oberbayern",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE22",626,"actual","DE22","DE22","Niederbayern",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE23",566.2,"actual","DE23","DE23","Oberpfalz",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE24",542.5,"actual","DE24","DE24","Oberfranken",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE25",864.6,"actual","DE25","DE25","Mittelfranken",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE26",674.6,"actual","DE26","DE26","Unterfranken",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE27",919.4,"actual","DE27","DE27","Schwaben",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE30",1604.1,"actual","DE30","DE30","Berlin",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE40",1200.1,"actual","DE40","DE40","Brandenburg",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE50",299.1,"actual","DE50","DE50","Bremen",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE60",885.6,"actual","DE60","DE60","Hamburg",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE71",1912.2,"actual","DE71","DE71","Darmstadt",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE72",503.5,"actual","DE72","DE72","Gießen",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE73",591.4,"actual","DE73","DE73","Kassel",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE80",741.9,"actual","DE80","DE80","Mecklenburg-Vorpommern",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE91",734,"actual","DE91","DE91","Braunschweig",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE92",1013.5,"actual","DE92","DE92","Hannover",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE93",804.8,"actual","DE93","DE93","Lüneburg",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DE94",1214.6,"actual","DE94","DE94","Weser-Ems",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEA1",2364,"actual","DEA1","DEA1","Düsseldorf",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEA2",2013.5,"actual","DEA2","DEA2","Köln",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEA3",1209.3,"actual","DEA3","DEA3","Münster",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEA4",968.6,"actual","DEA4","DEA4","Detmold",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEA5",1623,"actual","DEA5","DEA5","Arnsberg",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEB1",717,"actual","DEB1","DEB1","Koblenz",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEB2",264.5,"actual","DEB2","DEB2","Trier",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEB3",981,"actual","DEB3","DEB3","Rheinhessen-Pfalz",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEC0",464.8,"actual","DEC0","DEC0","Saarland",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DED2",743.8,"actual","DED2","DED2","Dresden",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DED4",688.1,"actual","DED4","DED4","Chemnitz",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DED5",474.6,"actual","DED5","DED5","Leipzig",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEE0",1048.9,"actual","DEE0","DEE0","Sachsen-Anhalt",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEF0",1336.9,"actual","DEF0","DEF0","Schleswig-Holstein",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DEG0",1067.1,"actual","DEG0","DEG0","Thüringen",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DK01",858.4,"actual","DK01","DK01","Hovedstaden",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DK02",367.7,"actual","DK02","DK02","Sjælland",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","DK03",538.9,"actual","DK03","DK03","Syddanmark",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
